Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne
136.897027603082	150.39995394906146	0.826	1
145.164107736311	150.39996336726068	0.812	1
149.1535565669866	150.39336318563483	0.795	1
140.22257528121224	150.39987874932092	0.846	1
151.10071955857438	150.39226178903823	0.884	1
141.76994554551152	150.39999946521868	0.858	1
135.51348063418124	150.39999855873413	0.85	1
138.8891505933426	150.39979582225712	0.827	1
133.37712786730282	150.39997552702067	0.845	1
145.02794403989284	150.39913542138686	0.831	1
148.02159549270192	150.39734198259276	0.826	1
143.09645301940554	150.39215650937538	0.835	1
130.601456440354	150.3998709997351	0.83	1
151.1605460089701	150.39975583633952	0.857	1
133.9520932595031	150.39990851127095	0.849	1
140.6806439284113	150.3999863299896	0.828	1
138.43753663417584	150.39998706418334	0.851	1
147.80678881403216	150.3998709981786	0.859	1
137.8726445827151	150.39997815354573	0.822	1
149.37078316190477	150.39979119127696	0.836	1
143.71385760396316	150.3999101425027	0.847	1
152.41741925044317	150.39996504988113	0.855	1
141.36321810006254	150.39977492099655	0.847	1
142.71314001344035	150.39997950333554	0.848	1
142.8096487839549	150.39964062248316	0.8	1
