Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Szansa mutacji
149.3655766122017	150.3999304755227	0.842	1	0.0800000000745058
143.2880627054337	150.39688060381582	0.82	1	0.0800000000745058
141.27686848031422	150.39998147780864	0.852	1	0.0800000000745058
149.6559470704483	150.39999072615208	0.848	1	0.0800000000745058
147.78902162758484	150.39972053173693	0.826	1	0.0800000000745058
146.87374199765944	150.39939845463783	0.833	1	0.0800000000745058
150.89292559608396	150.39999900243973	0.845	1	0.0800000000745058
151.69222069708502	150.39976364541423	0.879	1	0.0800000000745058
151.7608154561546	150.3998140709121	0.864	1	0.08999999985098839
150.92204843953496	150.3999679782917	0.829	1	0.08999999985098839
150.94480690165486	150.3999728106335	0.853	1	0.08999999985098839
151.58436640715814	150.39999861653	0.881	1	0.08999999985098839
148.76973481812502	150.39974021156021	0.869	1	0.08999999985098839
149.97021519708196	150.39998802486014	0.837	1	0.08999999985098839
152.22124953497226	150.39949078633273	0.87	1	0.08999999985098839
144.8197866725705	150.39999302413003	0.871	1	0.08999999985098839
137.46472609586024	150.39984350458056	0.895	1	0.08999999985098839
146.92345524203313	150.39940270645576	0.856	1	0.08999999985098839
149.0044095646411	150.3999825627988	0.879	1	0.08999999985098839
152.2845521799499	150.39993663764943	0.882	1	0.08999999985098839
148.27096935723972	150.39987797040177	0.844	1	0.08999999985098839
149.2934217806872	150.3999894235277	0.858	1	0.08999999985098839
151.02704736396495	150.39997898248987	0.874	1	0.08999999985098839
149.35020277723223	150.3999905276407	0.867	1	0.08999999985098839
146.41970779167525	150.39942792798107	0.863	1	0.08999999985098839
150.51116382381048	150.3999492300282	0.831	1	0.08999999985098839
150.3335991583983	150.39995283259543	0.893	1	0.08999999985098839
149.75199510112793	150.3880808036011	0.877	1	0.08999999985098839
146.97519162944678	150.39693215102795	0.887	1	0.09999999962747097
152.27424366757967	150.39918867108818	0.874	1	0.09999999962747097
149.19301030424424	150.39994478845145	0.89	1	0.09999999962747097
147.0261508666218	150.39999830068706	0.862	1	0.09999999962747097
134.16076132375758	150.39999977468844	0.856	1	0.09999999962747097
149.7157088621138	150.39980806022842	0.871	1	0.09999999962747097
149.0037169079976	150.39964801690383	0.887	1	0.09999999962747097
148.7962848333575	150.39999699492853	0.863	1	0.09999999962747097
151.68955608661398	150.39999012829753	0.843	1	0.09999999962747097
147.57732184897208	150.39997805720728	0.89	1	0.09999999962747097
142.23159712955544	150.3999951590863	0.876	1	0.09999999962747097
150.74178515057963	150.39977394815062	0.878	1	0.09999999962747097
148.54181572411744	150.39997839448668	0.857	1	0.09999999962747097
149.26134408537058	150.39999148442809	0.855	1	0.09999999962747097
152.26329523950116	150.39999687927127	0.882	1	0.09999999962747097
150.5930624907304	150.3999805066182	0.861	1	0.09999999962747097
150.9171271359252	150.39995106694408	0.861	1	0.09999999962747097
144.75416362173274	150.39996574754642	0.857	1	0.09999999962747097
152.54806142637128	150.39999735801015	0.843	1	0.09999999962747097
150.17969407935215	150.3999157586665	0.869	1	0.09999999962747097
150.38873056310152	150.39988098867903	0.882	1	0.10999999940395355
145.4853113877597	150.3999981359982	0.906	1	0.10999999940395355
152.4901200617619	150.39944588907346	0.852	1	0.10999999940395355
151.7312591683168	150.39989350787693	0.876	1	0.10999999940395355
152.07680590622888	150.39998332163083	0.886	1	0.10999999940395355
151.78683376011762	150.39964678746114	0.883	1	0.10999999940395355
149.81166055188294	150.3999999040345	0.856	1	0.10999999940395355
146.26227258573965	150.39993267217758	0.888	1	0.10999999940395355
152.68820143139212	150.39947703882567	0.875	1	0.10999999940395355
152.68359288943694	150.39918888704807	0.889	1	0.10999999940395355
153.669079279698	150.39998820660944	0.87	1	0.10999999940395355
153.9516900974235	150.38881420369816	0.907	1	0.10999999940395355
149.3195111855652	150.3999665269983	0.882	1	0.10999999940395355
