Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Szansa crossovera
147.09613060968306	150.399365582867	7.786	1	0.10000000149011612
143.61606414293755	150.39997574116776	7.425	1	0.10000000149011612
124.3507530809866	150.3989363529956	7.451	1	0.10000000149011612
133.8712552204825	150.39940368541747	7.473	1	0.10000000149011612
141.28265760460164	150.39926580230343	7.63	1	0.10000000149011612
140.38139500329717	150.39902127445708	7.454	1	0.10000000149011612
145.96172247651168	150.39979269733726	7.861	1	0.10000000149011612
142.83041217348608	150.39998710420446	7.802	1	0.15000000223517418
127.23798747949058	150.37475223691217	7.879	1	0.15000000223517418
144.83946194618744	150.398978093939	7.702	1	0.15000000223517418
149.14290432850754	150.39995840825284	8.018	1	0.15000000223517418
142.95281890222503	150.39440744044134	7.794	1	0.15000000223517418
136.17629785859185	150.3998256004171	7.614	1	0.15000000223517418
129.4235045686238	150.3999799497967	7.835	1	0.15000000223517418
145.2326143686643	150.39999596850961	7.417	1	0.15000000223517418
145.91230683825881	150.3998627875242	7.631	1	0.15000000223517418
147.27796544039447	150.39978625911942	7.722	1	0.15000000223517418
140.56611885652578	150.39912202440863	7.528	1	0.15000000223517418
145.6104150670964	150.39944504020428	7.553	1	0.15000000223517418
152.30398291698515	150.39974501841783	7.703	1	0.15000000223517418
142.23921243932966	150.3999748132363	7.789	1	0.15000000223517418
146.5047964661239	150.3999606251193	7.992	1	0.15000000223517418
143.480457843611	150.38528671996664	7.705	1	0.15000000223517418
128.0838794669279	150.3999949981531	7.563	1	0.15000000223517418
132.89821326341507	150.39946757752128	7.435	1	0.15000000223517418
149.3959738543485	150.39969957466505	7.83	1	0.15000000223517418
147.51236439945825	150.39999704506332	7.639	1	0.15000000223517418
125.16987796099771	150.3975952232504	7.904	1	0.20000000298023224
146.03764277267013	150.3999490582105	7.632	1	0.20000000298023224
152.26326793648485	150.3997712151434	7.457	1	0.20000000298023224
141.7685646954103	150.39928625116897	7.774	1	0.20000000298023224
141.42441400107487	150.39998021279894	7.812	1	0.20000000298023224
138.34271100498293	150.3998582210438	7.441	1	0.20000000298023224
146.73278126085128	150.39986040408726	7.778	1	0.20000000298023224
148.6106299775797	150.39990932720923	7.78	1	0.20000000298023224
143.65688866411742	150.39971603087193	7.563	1	0.20000000298023224
143.1359409290991	150.39884983440933	7.729	1	0.20000000298023224
142.89470392511697	150.39994140681415	7.389	1	0.20000000298023224
137.8366025519505	150.399757921884	7.479	1	0.20000000298023224
147.45745164731892	150.3984385700426	7.34	1	0.20000000298023224
146.80876358838793	150.39975322905738	7.573	1	0.20000000298023224
149.84642769452995	150.3884067791177	7.843	1	0.20000000298023224
145.30815757419379	150.39940989525314	8.203	1	0.20000000298023224
147.71770755928435	150.3993314131303	7.993	1	0.20000000298023224
140.10776415244356	150.39980706565376	8.386	1	0.20000000298023224
148.8721956388895	150.39960671866908	8.08	1	0.20000000298023224
146.67467532784832	150.3985552917918	7.72	1	0.20000000298023224
148.3303043193748	150.39987152399934	7.369	1	0.2500000037252903
146.49744309150543	150.39961972807802	7.675	1	0.2500000037252903
148.07235763951633	150.3999732186512	7.31	1	0.2500000037252903
140.47060759894455	150.39999577342095	5.329	1	0.2500000037252903
149.9089333161048	150.39831986618097	5.4	1	0.2500000037252903
140.18200965573078	150.3997586676617	5.406	1	0.2500000037252903
136.20688295953101	150.39977070617977	5.399	1	0.2500000037252903
140.43025053113018	150.39999904561034	5.142	1	0.2500000037252903
142.9557557549051	150.3999985465275	5.309	1	0.2500000037252903
144.78955729944147	150.39993187939604	4.967	1	0.2500000037252903
151.09021744405783	150.39993060042383	5.796	1	0.2500000037252903
140.94792931591016	150.39037305134514	5.225	1	0.2500000037252903
145.48138870450404	149.95012197289017	5.588	1	0.2500000037252903
150.34502906172037	150.39997430507398	5.341	1	0.2500000037252903
144.12216781186885	150.39870483831422	5.443	1	0.2500000037252903
136.98773021188612	150.3998217818756	5.322	1	0.2500000037252903
143.60079787169025	150.39966498827906	4.866	1	0.2500000037252903
136.11266718381583	150.3991127872035	5.413	1	0.2500000037252903
148.3449234157996	150.39987257661087	5.421	1	0.2500000037252903
140.4288075039129	150.39996151349237	5.092	1	0.2500000037252903
148.84884301349018	150.3998263373402	5.353	1	0.30000000447034836
149.2866191579762	150.39989985086245	5.413	1	0.30000000447034836
